true,pred,action,confidence
1245.0,1239.5812,2,0.4858902
1246.0,1250.9031,0,0.48487556
1241.0,1254.8807,0,0.48724055
1233.0,1248.196,0,0.48020148
1201.0,1228.605,2,0.49514997
1193.0,1202.9261,2,0.50596094
1202.0,1195.6737,2,0.51436675
1203.0,1201.1483,2,0.51098883
1210.0,1200.5275,2,0.5083366
1207.0,1204.8466,2,0.50143504
1201.0,1206.2946,2,0.49895406
1206.0,1201.3599,2,0.50158453
1202.0,1203.2034,2,0.49813172
1205.0,1204.9515,2,0.49022606
1204.0,1211.687,2,0.4809516
1210.0,1207.4651,2,0.48237598
1209.0,1219.7722,0,0.48764002
1237.0,1221.4343,0,0.4905266
1240.0,1243.9811,0,0.49887666
1216.0,1265.1868,0,0.5038509
1213.0,1242.7396,0,0.4853567
1211.0,1230.6481,2,0.48790357
1211.0,1222.2284,2,0.4986115
1206.0,1218.3934,2,0.50375366
1208.0,1209.2244,2,0.51427096
1227.0,1211.8809,2,0.5146649
1237.0,1237.2736,2,0.49437398
1240.0,1257.6578,0,0.48084316
1242.0,1265.2386,0,0.4899355
1234.0,1271.2994,0,0.4929773
1240.0,1263.569,0,0.48622948
1241.0,1268.173,0,0.48677844
1243.0,1266.2562,0,0.48490337
1231.0,1268.83,0,0.48611626
1254.0,1265.4614,2,0.48259288
1261.0,1280.1978,0,0.4811336
1267.0,1292.7448,0,0.48817807
1265.0,1304.7329,0,0.4943315
1293.0,1307.4115,0,0.490989
1297.0,1322.3007,0,0.4949454
1296.0,1330.4312,0,0.49508083
1295.0,1332.9833,0,0.49312428
1282.0,1332.8179,0,0.48930803
1289.0,1317.8413,2,0.48620898
1284.0,1320.1344,2,0.48735213
1276.0,1313.6658,2,0.49357337
1273.0,1299.8994,2,0.50445056
1264.0,1289.0747,2,0.5132758
1272.0,1281.5576,2,0.51872617
1269.0,1284.5406,2,0.5156186
1277.0,1282.1185,2,0.51489395
1279.0,1294.8597,2,0.50293857
1266.0,1303.9781,2,0.4939609
1263.0,1279.3458,2,0.5051057
1271.0,1266.6294,2,0.5104823
1276.0,1275.1842,2,0.50111276
1276.0,1287.2568,2,0.48946393
1269.0,1292.8292,2,0.48400795
1262.0,1280.2426,2,0.4911918
1264.0,1265.9427,2,0.50146925
1255.0,1266.205,2,0.50290567
1258.0,1257.7346,2,0.5072846
1258.0,1262.4888,2,0.50433344
1256.0,1259.2468,2,0.50356907
1252.0,1257.6711,2,0.5043619
1280.0,1245.7388,2,0.5104292
1280.0,1285.4249,0,0.48092675
1279.0,1300.052,0,0.49498898
1269.0,1305.6932,0,0.49902236
1288.0,1291.412,0,0.48762235
1284.0,1305.7887,0,0.49547145
1286.0,1306.0691,0,0.49294114
1285.0,1311.6552,0,0.492884
1273.0,1316.1134,0,0.49047473
1277.0,1295.7859,2,0.4885428
1283.0,1298.3972,2,0.49246728
1290.0,1306.0708,2,0.488033
1301.0,1319.6481,0,0.48331392
1310.0,1331.7766,0,0.48898777
1313.0,1343.0707,0,0.4933626
1312.0,1345.6449,0,0.49191514
1307.0,1345.795,0,0.48940727
1323.0,1340.6161,0,0.48403123
1330.0,1355.2391,0,0.4896257
1331.0,1358.5143,0,0.4860784
1323.0,1362.3085,0,0.48463342
1327.0,1354.199,2,0.48625937
1331.0,1355.1179,2,0.48793507
1348.0,1365.1202,2,0.4853281
1341.0,1380.2732,0,0.48531413
1346.0,1377.5757,2,0.48178592
1355.0,1380.9495,2,0.48174703
1356.0,1389.7185,0,0.4850386
1380.0,1392.0027,0,0.48360264
1380.0,1403.2803,0,0.48657453
1380.0,1407.7367,0,0.48405734
1378.0,1411.7378,0,0.4822376
1368.0,1411.5316,2,0.48433632
1397.0,1397.5535,2,0.49453995
1384.0,1418.4943,2,0.48263335
1395.0,1414.4504,2,0.48588303
1389.0,1423.188,0,0.48280475
1387.0,1420.9474,2,0.48366776
1384.0,1415.568,2,0.4887647
1368.0,1412.8048,2,0.4932149
1373.0,1390.1874,2,0.5110396
1387.0,1383.9646,2,0.5145676
1381.0,1401.1614,2,0.50212586
1366.0,1398.8773,2,0.50085574
1376.0,1375.4141,2,0.5160034
1380.0,1381.1812,2,0.50960374
1383.0,1390.2578,2,0.50033915
1382.0,1400.0751,2,0.4913215
1425.9999,1394.7056,2,0.49031475
1424.0,1426.4811,0,0.48708668
1446.0,1429.2327,0,0.48727095
1496.0,1445.3602,0,0.4942888
1520.0,1467.9026,0,0.49872634
1448.0,1491.7211,0,0.50178736
1480.0,1465.7588,0,0.4832443
1466.0,1472.7026,2,0.48397383
1458.0,1470.6903,2,0.48875108
1466.0,1463.271,2,0.49502912
